Id;H  [deg];V  [deg];D  [mm];U(95)  [mm];U(95) H  [deg];U(95) V  [deg];U(95) D  [mm];Tilt  [deg];Q0 ;Q1 ;Q2 ;Q3 ;Image RMS  [µm];Target;Temperature  [°C];Pressure  [mBar];Humidity  [%];Time Stamp;OTG Applied;Delete;
1;-96.0643;90.4870;4546.852;0.000;0.0000;0.0000;0.000;5.0783;0.544315;-0.541727;0.451827;-0.453989;0.34;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.5;962;63;'29.06.2021 10:08:37.040;True;;
2;-96.0641;90.4870;4546.735;0.000;0.0000;0.0000;0.000;5.0929;0.544398;-0.541785;0.451740;-0.453907;0.35;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.5;962;63;'29.06.2021 10:08:37.050;True;;
3;-96.0638;90.4870;4546.619;0.000;0.0000;0.0000;0.000;5.1076;0.544479;-0.541843;0.451655;-0.453824;0.35;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.5;962;63;'29.06.2021 10:08:37.060;True;;
4;-96.0636;90.4871;4546.505;0.000;0.0000;0.0000;0.000;5.1219;0.544561;-0.541900;0.451568;-0.453744;0.34;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.5;962;63;'29.06.2021 10:08:37.070;True;;
5;-96.0634;90.4871;4546.389;0.000;0.0000;0.0000;0.000;5.1365;0.544639;-0.541959;0.451485;-0.453662;0.34;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.5;962;63;'29.06.2021 10:08:37.080;True;;
6;-96.0632;90.4871;4546.278;0.000;0.0000;0.0000;0.000;5.1505;0.544720;-0.542015;0.451400;-0.453584;0.35;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.5;962;63;'29.06.2021 10:08:37.090;True;;
7;-96.0630;90.4871;4546.169;0.000;0.0000;0.0000;0.000;5.1649;0.544804;-0.542071;0.451309;-0.453506;0.35;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.5;962;63;'29.06.2021 10:08:37.100;True;;
8;-96.0628;90.4871;4546.056;0.000;0.0000;0.0000;0.000;5.1796;0.544883;-0.542130;0.451228;-0.453422;0.35;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.5;962;63;'29.06.2021 10:08:37.110;True;;
9;-96.0625;90.4871;4545.946;0.000;0.0000;0.0000;0.000;5.1939;0.544957;-0.542189;0.451145;-0.453344;0.35;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.5;962;63;'29.06.2021 10:08:37.120;True;;
10;-96.0624;90.4872;4545.837;0.000;0.0000;0.0000;0.000;5.2088;0.545037;-0.542249;0.451060;-0.453261;0.34;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.5;962;63;'29.06.2021 10:08:37.130;True;;
11;-96.0622;90.4872;4545.733;0.000;0.0000;0.0000;0.000;5.2231;0.545121;-0.542306;0.450967;-0.453184;0.34;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.5;962;63;'29.06.2021 10:08:37.140;True;;
12;-96.0621;90.4872;4545.625;0.000;0.0000;0.0000;0.000;5.2375;0.545194;-0.542365;0.450890;-0.453103;0.34;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.5;962;63;'29.06.2021 10:08:37.150;True;;
13;-96.0619;90.4872;4545.523;0.000;0.0000;0.0000;0.000;5.2512;0.545272;-0.542420;0.450804;-0.453029;0.34;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.5;962;63;'29.06.2021 10:08:37.160;True;;
