Id;H  [deg];V  [deg];D  [mm];U(95)  [mm];U(95) H  [deg];U(95) V  [deg];U(95) D  [mm];Tilt  [deg];Q0 ;Q1 ;Q2 ;Q3 ;Image RMS  [µm];Target;Temperature  [°C];Pressure  [mBar];Humidity  [%];Time Stamp;OTG Applied;Delete;
1;111.1675;90.8560;2593.292;0.000;0.0000;0.0000;0.000;5.2062;0.578137;-0.572031;-0.409692;0.413149;0.35;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.6;962;67;'29.06.2021 09:41:58.800;True;;
2;111.1674;90.8560;2593.306;0.000;0.0000;0.0000;0.000;5.2075;0.578126;-0.572026;-0.409703;0.413160;0.34;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.6;962;67;'29.06.2021 09:41:58.810;True;;
3;111.1674;90.8560;2593.317;0.000;0.0000;0.0000;0.000;5.2095;0.578112;-0.572024;-0.409717;0.413168;0.34;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.6;962;67;'29.06.2021 09:41:58.820;True;;
4;111.1674;90.8560;2593.332;0.000;0.0000;0.0000;0.000;5.2109;0.578102;-0.572011;-0.409734;0.413182;0.34;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.6;962;67;'29.06.2021 09:41:58.830;True;;
5;111.1675;90.8560;2593.342;0.000;0.0000;0.0000;0.000;5.2136;0.578083;-0.572007;-0.409755;0.413192;0.34;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.6;962;67;'29.06.2021 09:41:58.840;True;;
6;111.1675;90.8560;2593.358;0.000;0.0000;0.0000;0.000;5.2147;0.578074;-0.571998;-0.409768;0.413206;0.32;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.6;962;67;'29.06.2021 09:41:58.850;True;;
7;111.1675;90.8560;2593.369;0.000;0.0000;0.0000;0.000;5.2175;0.578054;-0.571991;-0.409790;0.413222;0.32;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.6;962;67;'29.06.2021 09:41:58.860;True;;
8;111.1676;90.8560;2593.385;0.000;0.0000;0.0000;0.000;5.2192;0.578042;-0.571977;-0.409808;0.413238;0.32;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.6;962;67;'29.06.2021 09:41:58.870;True;;
9;111.1676;90.8560;2593.398;0.000;0.0000;0.0000;0.000;5.2217;0.578023;-0.571968;-0.409830;0.413257;0.32;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.6;962;67;'29.06.2021 09:41:58.880;True;;
10;111.1676;90.8560;2593.413;0.000;0.0000;0.0000;0.000;5.2230;0.578013;-0.571962;-0.409842;0.413268;0.29;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.6;962;67;'29.06.2021 09:41:58.890;True;;
11;111.1676;90.8560;2593.427;0.000;0.0000;0.0000;0.000;5.2258;0.577991;-0.571946;-0.409868;0.413294;0.29;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.6;962;67;'29.06.2021 09:41:58.900;True;;
12;111.1677;90.8559;2593.438;0.000;0.0000;0.0000;0.000;5.2293;0.577968;-0.571934;-0.409900;0.413311;0.27;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.6;962;67;'29.06.2021 09:41:58.910;True;;
13;111.1678;90.8559;2593.453;0.000;0.0000;0.0000;0.000;5.2317;0.577950;-0.571920;-0.409923;0.413334;0.27;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.6;962;67;'29.06.2021 09:41:58.920;True;;
14;111.1679;90.8559;2593.465;0.000;0.0000;0.0000;0.000;5.2345;0.577930;-0.571912;-0.409945;0.413349;0.27;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.6;962;67;'29.06.2021 09:41:58.930;True;;
15;111.1681;90.8560;2593.481;0.000;0.0000;0.0000;0.000;5.2364;0.577917;-0.571895;-0.409968;0.413368;0.27;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.6;962;67;'29.06.2021 09:41:58.940;True;;
16;111.1682;90.8559;2593.489;0.000;0.0000;0.0000;0.000;5.2405;0.577889;-0.571892;-0.409997;0.413385;0.25;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.6;962;67;'29.06.2021 09:41:58.950;True;;
17;111.1682;90.8559;2593.506;0.000;0.0000;0.0000;0.000;5.2434;0.577866;-0.571867;-0.410029;0.413419;0.25;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.6;962;67;'29.06.2021 09:41:58.960;True;;
18;111.1683;90.8559;2593.518;0.000;0.0000;0.0000;0.000;5.2466;0.577843;-0.571857;-0.410055;0.413439;0.24;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.6;962;67;'29.06.2021 09:41:58.970;True;;
