Id;H  [deg];V  [deg];D  [mm];U(95)  [mm];U(95) H  [deg];U(95) V  [deg];U(95) D  [mm];Tilt  [deg];Q0 ;Q1 ;Q2 ;Q3 ;Image RMS  [µm];Target;Temperature  [°C];Pressure  [mBar];Humidity  [%];Time Stamp;OTG Applied;Delete;
1;111.1586;86.3924;2599.136;0.000;0.0000;0.0000;0.000;2.6810;0.576710;-0.571202;-0.410731;0.415253;0.48;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.6;962;67;'29.06.2021 09:46:21.710;True;;
2;111.1590;86.3924;2599.142;0.000;0.0000;0.0000;0.000;2.6879;0.576688;-0.571176;-0.410756;0.415292;0.48;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.6;962;67;'29.06.2021 09:46:21.720;True;;
3;111.1594;86.3925;2599.151;0.000;0.0000;0.0000;0.000;2.6931;0.576679;-0.571152;-0.410774;0.415322;0.46;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.6;962;67;'29.06.2021 09:46:21.730;True;;
4;111.1598;86.3925;2599.155;0.000;0.0000;0.0000;0.000;2.6990;0.576662;-0.571130;-0.410803;0.415347;0.46;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.6;962;67;'29.06.2021 09:46:21.740;True;;
5;111.1603;86.3925;2599.162;0.000;0.0000;0.0000;0.000;2.7036;0.576654;-0.571108;-0.410821;0.415371;0.41;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.6;962;67;'29.06.2021 09:46:21.750;True;;
6;111.1608;86.3925;2599.169;0.000;0.0000;0.0000;0.000;2.7077;0.576649;-0.571087;-0.410838;0.415389;0.41;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.6;962;67;'29.06.2021 09:46:21.760;True;;
7;111.1613;86.3925;2599.169;0.000;0.0000;0.0000;0.000;2.7129;0.576629;-0.571073;-0.410868;0.415406;0.36;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.6;962;67;'29.06.2021 09:46:21.770;True;;
8;111.1618;86.3926;2599.172;0.000;0.0000;0.0000;0.000;2.7183;0.576609;-0.571058;-0.410893;0.415429;0.36;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.6;962;67;'29.06.2021 09:46:21.780;True;;
9;111.1622;86.3925;2599.166;0.000;0.0000;0.0000;0.000;2.7228;0.576583;-0.571056;-0.410924;0.415437;0.31;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.6;962;67;'29.06.2021 09:46:21.790;True;;
10;111.1626;86.3925;2599.167;0.000;0.0000;0.0000;0.000;2.7265;0.576567;-0.571049;-0.410945;0.415449;0.31;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.6;962;67;'29.06.2021 09:46:21.800;True;;
11;111.1630;86.3925;2599.166;0.000;0.0000;0.0000;0.000;2.7305;0.576548;-0.571043;-0.410965;0.415463;0.27;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.6;962;67;'29.06.2021 09:46:21.810;True;;
12;111.1634;86.3925;2599.169;0.000;0.0000;0.0000;0.000;2.7311;0.576544;-0.571046;-0.410967;0.415463;0.27;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.6;962;67;'29.06.2021 09:46:21.820;True;;
13;111.1638;86.3925;2599.170;0.000;0.0000;0.0000;0.000;2.7338;0.576531;-0.571043;-0.410980;0.415473;0.28;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.6;962;67;'29.06.2021 09:46:21.830;True;;
14;111.1642;86.3925;2599.175;0.000;0.0000;0.0000;0.000;2.7352;0.576528;-0.571039;-0.410980;0.415482;0.28;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.6;962;67;'29.06.2021 09:46:21.840;True;;
