   0.000 0.0    0.126 0.0 
   0.030 0.0    0.125 0.0 
   0.061 0.0    0.124 0.0 
   0.092 0.0    0.123 0.0 
   0.127 0.0    0.122 0.0 
   0.157 0.0    0.121 0.0 
   0.181 0.0    0.119 0.0 
   0.212 0.0    0.117 0.0 
   0.242 0.0    0.114 0.0 
   0.273 0.0    0.112 0.0 
   0.308 0.0    0.107 0.0 
   0.333 0.0    0.102 0.0 
   0.369 0.0    0.096 0.0 
   0.393 0.0    0.091 0.0 
   0.423 0.0    0.086 0.0 
   0.454 0.0    0.080 0.0 
   0.484 0.0    0.074 0.0 
   0.514 0.0    0.069 0.0 
   0.545 0.0    0.063 0.0 
   0.575 0.0    0.058 0.0 
   0.605 0.0    0.055 0.0 
   0.636 0.0    0.051 0.0 
   0.666 0.0    0.048 0.0 
   0.697 0.0    0.044 0.0 
   0.731 0.0    0.040 0.0 
   0.756 0.0    0.037 0.0 
   0.786 0.0    0.033 0.0 
   0.817 0.0    0.029 0.0 
   0.847 0.0    0.025 0.0 
   0.877 0.0    0.021 0.0 
   0.907 0.0    0.016 0.0 
   0.938 0.0    0.012 0.0 
   0.968 0.0    0.007 0.0 
   0.997 0.0    0.003 0.0 
   1.028 0.0   -0.002 0.0 
   1.059 0.0   -0.008 0.0 
   1.089 0.0   -0.014 0.0 
   1.119 0.0   -0.020 0.0 
   1.149 0.0   -0.026 0.0 
   1.180 0.0   -0.032 0.0 
   1.209 0.0   -0.037 0.0 
   1.239 0.0   -0.042 0.0 
   1.270 0.0   -0.047 0.0 
   1.300 0.0   -0.052 0.0 
   1.330 0.0   -0.057 0.0 
   1.361 0.0   -0.061 0.0 
   1.391 0.0   -0.064 0.0 
   1.421 0.0   -0.068 0.0 
   1.457 0.0   -0.072 0.0 
   1.482 0.0   -0.076 0.0 
   1.512 0.0   -0.081 0.0 
   1.542 0.0   -0.085 0.0 
   1.573 0.0   -0.089 0.0 
   1.603 0.0   -0.093 0.0 
   1.633 0.0   -0.096 0.0 
   1.663 0.0   -0.099 0.0 
   1.694 0.0   -0.103 0.0 
   1.724 0.0   -0.106 0.0 
   1.754 0.0   -0.109 0.0 
   1.790 0.0   -0.111 0.0 
   1.816 0.0   -0.113 0.0 
   1.845 0.0   -0.115 0.0 
   1.875 0.0   -0.117 0.0 
   1.905 0.0   -0.119 0.0 
   1.936 0.0   -0.120 0.0 
   1.966 0.0   -0.121 0.0 
   1.996 0.0   -0.122 0.0 
   2.026 0.0   -0.121 0.0 
   2.057 0.0   -0.121 0.0 
   2.092 0.0   -0.121 0.0 
   2.118 0.0   -0.120 0.0 
   2.148 0.0   -0.119 0.0 
   2.177 0.0   -0.118 0.0 
   2.208 0.0   -0.117 0.0 
   2.238 0.0   -0.116 0.0 
   2.269 0.0   -0.114 0.0 
   2.299 0.0   -0.111 0.0 
   2.334 0.0   -0.108 0.0 
   2.364 0.0   -0.105 0.0 
   2.390 0.0   -0.101 0.0 
   2.424 0.0   -0.097 0.0 
   2.454 0.0   -0.094 0.0 
   2.485 0.0   -0.090 0.0 
   2.515 0.0   -0.086 0.0 
   2.545 0.0   -0.081 0.0 
   2.576 0.0   -0.077 0.0 
   2.606 0.0   -0.074 0.0 
   2.633 0.0   -0.071 0.0 
   2.666 0.0   -0.068 0.0 
   2.693 0.0   -0.064 0.0 
   2.723 0.0   -0.061 0.0 
   2.757 0.0   -0.058 0.0 
   2.784 0.0   -0.055 0.0 
   2.815 0.0   -0.051 0.0 
   2.848 0.0   -0.048 0.0 
   2.878 0.0   -0.044 0.0 
   2.908 0.0   -0.041 0.0 
   2.935 0.0   -0.037 0.0 
   2.965 0.0   -0.032 0.0 
   2.999 0.0   -0.026 0.0 
   3.030 0.0   -0.020 0.0 
   3.056 0.0   -0.014 0.0 
   3.086 0.0   -0.008 0.0 
   3.116 0.0   -0.002 0.0 
   3.147 0.0    0.004 0.0 
   3.177 0.0    0.010 0.0 
   3.208 0.0    0.016 0.0 
   3.241 0.0    0.022 0.0 
   3.269 0.0    0.027 0.0 
   3.298 0.0    0.031 0.0 
   3.328 0.0    0.037 0.0 
   3.358 0.0    0.043 0.0 
   3.388 0.0    0.049 0.0 
   3.419 0.0    0.055 0.0 
   3.450 0.0    0.061 0.0 
   3.480 0.0    0.067 0.0 
   3.510 0.0    0.072 0.0 
   3.542 0.0    0.078 0.0 
   3.575 0.0    0.082 0.0 
   3.605 0.0    0.087 0.0 
   3.636 0.0    0.089 0.0 
   3.665 0.0    0.092 0.0 
   3.692 0.0    0.094 0.0 
   3.722 0.0    0.097 0.0 
   3.756 0.0    0.099 0.0 
   3.786 0.0    0.102 0.0 
   3.816 0.0    0.105 0.0 
   3.847 0.0    0.107 0.0 
   3.877 0.0    0.109 0.0 
   3.908 0.0    0.111 0.0 
   3.934 0.0    0.113 0.0 
   3.965 0.0    0.114 0.0 
   3.995 0.0    0.116 0.0 
   4.028 0.0    0.118 0.0 
   4.059 0.0    0.118 0.0 
   4.088 0.0    0.118 0.0 
   4.119 0.0    0.118 0.0 
   4.149 0.0    0.118 0.0 
   4.175 0.0    0.118 0.0 
   4.205 0.0    0.117 0.0 
   4.236 0.0    0.116 0.0 
   4.271 0.0    0.115 0.0 
   4.297 0.0    0.114 0.0 
   4.326 0.0    0.112 0.0 
   4.361 0.0    0.110 0.0 
   4.391 0.0    0.108 0.0 
   4.419 0.0    0.106 0.0 
   4.447 0.0    0.103 0.0 
   4.477 0.0    0.100 0.0 
   4.508 0.0    0.098 0.0 
   4.538 0.0    0.095 0.0 
   4.569 0.0    0.092 0.0 
   4.599 0.0    0.089 0.0 
   4.630 0.0    0.086 0.0 
   4.659 0.0    0.082 0.0 
   4.691 0.0    0.078 0.0 
   4.720 0.0    0.073 0.0 
   4.751 0.0    0.069 0.0 
   4.780 0.0    0.065 0.0 
   4.810 0.0    0.060 0.0 
   4.840 0.0    0.056 0.0 
   4.871 0.0    0.051 0.0 
   4.906 0.0    0.046 0.0 
   4.933 0.0    0.042 0.0 
   4.962 0.0    0.037 0.0 
   4.992 0.0    0.032 0.0 
   5.023 0.0    0.026 0.0 
   5.052 0.0    0.021 0.0 
   5.082 0.0    0.016 0.0 
   5.119 0.0    0.011 0.0 
   5.144 0.0    0.004 0.0 
