Id;H  [deg];V  [deg];D  [mm];U(95)  [mm];U(95) H  [deg];U(95) V  [deg];U(95) D  [mm];Tilt  [deg];Q0 ;Q1 ;Q2 ;Q3 ;Image RMS  [µm];Target;Temperature  [°C];Pressure  [mBar];Humidity  [%];Time Stamp;OTG Applied;Delete;
1;-97.5064;90.8432;2553.703;0.000;0.0000;0.0000;0.000;5.1992;0.546690;-0.539012;0.449033;-0.457127;0.37;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.5;962;65;'29.06.2021 09:55:07.490;True;;
2;-97.5056;90.8433;2554.156;0.000;0.0000;0.0000;0.000;5.1931;0.546702;-0.538976;0.449027;-0.457161;0.38;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.5;962;65;'29.06.2021 09:55:07.500;True;;
3;-97.5047;90.8432;2554.625;0.000;0.0000;0.0000;0.000;5.1864;0.546724;-0.538941;0.449006;-0.457197;0.37;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.5;962;65;'29.06.2021 09:55:07.510;True;;
4;-97.5038;90.8425;2555.103;0.000;0.0000;0.0000;0.000;5.1796;0.546737;-0.538908;0.448994;-0.457233;0.36;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.5;962;65;'29.06.2021 09:55:07.520;True;;
5;-97.5029;90.8415;2555.597;0.000;0.0000;0.0000;0.000;5.1724;0.546757;-0.538875;0.448971;-0.457269;0.38;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.5;962;65;'29.06.2021 09:55:07.530;True;;
6;-97.5019;90.8406;2556.100;0.000;0.0000;0.0000;0.000;5.1655;0.546770;-0.538843;0.448958;-0.457306;0.37;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.5;962;65;'29.06.2021 09:55:07.540;True;;
7;-97.5010;90.8400;2556.615;0.000;0.0000;0.0000;0.000;5.1581;0.546787;-0.538805;0.448944;-0.457344;0.37;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.5;962;65;'29.06.2021 09:55:07.550;True;;
8;-97.5001;90.8400;2557.139;0.000;0.0000;0.0000;0.000;5.1513;0.546800;-0.538765;0.448937;-0.457382;0.37;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.5;962;65;'29.06.2021 09:55:07.560;True;;
9;-97.4992;90.8400;2557.681;0.000;0.0000;0.0000;0.000;5.1440;0.546824;-0.538725;0.448918;-0.457419;0.37;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.5;962;65;'29.06.2021 09:55:07.570;True;;
10;-97.4982;90.8398;2558.228;0.000;0.0000;0.0000;0.000;5.1382;0.546832;-0.538693;0.448913;-0.457452;0.36;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.5;962;65;'29.06.2021 09:55:07.580;True;;
11;-97.4972;90.8394;2558.798;0.000;0.0000;0.0000;0.000;5.1308;0.546852;-0.538654;0.448895;-0.457491;0.35;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.5;962;65;'29.06.2021 09:55:07.590;True;;
12;-97.4962;90.8392;2559.370;0.000;0.0000;0.0000;0.000;5.1256;0.546855;-0.538627;0.448893;-0.457521;0.36;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.5;962;65;'29.06.2021 09:55:07.600;True;;
