Id;H  [deg];V  [deg];D  [mm];U(95)  [mm];U(95) H  [deg];U(95) V  [deg];U(95) D  [mm];Tilt  [deg];Q0 ;Q1 ;Q2 ;Q3 ;Image RMS  [µm];Target;Temperature  [°C];Pressure  [mBar];Humidity  [%];Time Stamp;OTG Applied;Delete;
25;-95.4562;90.3168;7044.893;0.000;0.0000;0.0000;0.000;5.0197;0.543661;-0.541155;0.452304;-0.454978;0.34;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.5;962;65;'29.06.2021 09:56:22.770;True;;
26;-95.4562;90.3168;7044.907;0.000;0.0000;0.0000;0.000;5.0219;0.543662;-0.541168;0.452300;-0.454965;0.34;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.5;962;65;'29.06.2021 09:56:22.780;True;;
27;-95.4562;90.3168;7044.923;0.000;0.0000;0.0000;0.000;5.0261;0.543678;-0.541186;0.452287;-0.454938;0.33;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.5;962;65;'29.06.2021 09:56:22.790;True;;
28;-95.4562;90.3168;7044.944;0.000;0.0000;0.0000;0.000;5.0290;0.543689;-0.541199;0.452273;-0.454924;0.33;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.5;962;65;'29.06.2021 09:56:22.800;True;;
29;-95.4562;90.3168;7044.966;0.000;0.0000;0.0000;0.000;5.0326;0.543706;-0.541211;0.452255;-0.454906;0.35;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.5;962;65;'29.06.2021 09:56:22.810;True;;
30;-95.4562;90.3168;7044.984;0.000;0.0000;0.0000;0.000;5.0372;0.543717;-0.541235;0.452236;-0.454882;0.35;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.5;962;65;'29.06.2021 09:56:22.820;True;;
31;-95.4562;90.3168;7045.006;0.000;0.0000;0.0000;0.000;5.0408;0.543730;-0.541252;0.452220;-0.454864;0.34;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.5;962;65;'29.06.2021 09:56:22.830;True;;
32;-95.4562;90.3168;7045.033;0.000;0.0000;0.0000;0.000;5.0445;0.543752;-0.541264;0.452195;-0.454848;0.34;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.5;962;65;'29.06.2021 09:56:22.840;True;;
33;-95.4561;90.3168;7045.056;0.000;0.0000;0.0000;0.000;5.0483;0.543763;-0.541282;0.452181;-0.454827;0.34;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.5;962;65;'29.06.2021 09:56:22.850;True;;
34;-95.4561;90.3168;7045.079;0.000;0.0000;0.0000;0.000;5.0516;0.543773;-0.541297;0.452169;-0.454809;0.34;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.5;962;65;'29.06.2021 09:56:22.860;True;;
35;-95.4561;90.3168;7045.105;0.000;0.0000;0.0000;0.000;5.0560;0.543792;-0.541316;0.452147;-0.454787;0.35;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.5;962;65;'29.06.2021 09:56:22.870;True;;
36;-95.4561;90.3168;7045.130;0.000;0.0000;0.0000;0.000;5.0610;0.543809;-0.541338;0.452127;-0.454760;0.35;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.5;962;65;'29.06.2021 09:56:22.880;True;;
37;-95.4561;90.3168;7045.160;0.000;0.0000;0.0000;0.000;5.0660;0.543833;-0.541357;0.452098;-0.454737;0.35;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.5;962;65;'29.06.2021 09:56:22.890;True;;
38;-95.4561;90.3168;7045.186;0.000;0.0000;0.0000;0.000;5.0705;0.543848;-0.541377;0.452081;-0.454711;0.35;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.5;962;65;'29.06.2021 09:56:22.900;True;;
39;-95.4561;90.3168;7045.213;0.000;0.0000;0.0000;0.000;5.0760;0.543867;-0.541403;0.452057;-0.454683;0.35;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.5;962;65;'29.06.2021 09:56:22.910;True;;
40;-95.4561;90.3168;7045.242;0.000;0.0000;0.0000;0.000;5.0810;0.543886;-0.541424;0.452037;-0.454655;0.35;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.5;962;65;'29.06.2021 09:56:22.920;True;;
41;-95.4561;90.3168;7045.274;0.000;0.0000;0.0000;0.000;5.0849;0.543904;-0.541439;0.452015;-0.454637;0.35;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.5;962;65;'29.06.2021 09:56:22.930;True;;
42;-95.4561;90.3168;7045.303;0.000;0.0000;0.0000;0.000;5.0914;0.543926;-0.541468;0.451988;-0.454603;0.35;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.5;962;65;'29.06.2021 09:56:22.940;True;;
43;-95.4560;90.3168;7045.336;0.000;0.0000;0.0000;0.000;5.0967;0.543949;-0.541490;0.451961;-0.454576;0.35;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.5;962;65;'29.06.2021 09:56:22.950;True;;
44;-95.4560;90.3168;7045.364;0.000;0.0000;0.0000;0.000;5.1016;0.543958;-0.541517;0.451944;-0.454550;0.35;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.5;962;65;'29.06.2021 09:56:22.960;True;;
45;-95.4560;90.3168;7045.398;0.000;0.0000;0.0000;0.000;5.1076;0.543986;-0.541539;0.451917;-0.454517;0.36;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.5;962;65;'29.06.2021 09:56:22.970;True;;
46;-95.4560;90.3168;7045.431;0.000;0.0000;0.0000;0.000;5.1131;0.544005;-0.541564;0.451893;-0.454489;0.36;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.5;962;65;'29.06.2021 09:56:22.980;True;;
47;-95.4560;90.3168;7045.465;0.000;0.0000;0.0000;0.000;5.1193;0.544029;-0.541590;0.451867;-0.454455;0.35;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.5;962;65;'29.06.2021 09:56:22.990;True;;
48;-95.4560;90.3168;7045.502;0.000;0.0000;0.0000;0.000;5.1245;0.544053;-0.541609;0.451842;-0.454428;0.35;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.5;962;65;'29.06.2021 09:56:23.000;True;;
49;-95.4560;90.3168;7045.539;0.000;0.0000;0.0000;0.000;5.1304;0.544076;-0.541635;0.451810;-0.454401;0.37;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.5;962;65;'29.06.2021 09:56:23.010;True;;
50;-95.4559;90.3168;7045.571;0.000;0.0000;0.0000;0.000;5.1362;0.544093;-0.541662;0.451793;-0.454365;0.37;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.5;962;65;'29.06.2021 09:56:23.020;True;;
51;-95.4559;90.3168;7045.611;0.000;0.0000;0.0000;0.000;5.1434;0.544125;-0.541691;0.451755;-0.454331;0.37;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.5;962;65;'29.06.2021 09:56:23.030;True;;
52;-95.4559;90.3168;7045.646;0.000;0.0000;0.0000;0.000;5.1495;0.544142;-0.541721;0.451730;-0.454299;0.37;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.5;962;65;'29.06.2021 09:56:23.040;True;;
