Id;H  [deg];V  [deg];D  [mm];U(95)  [mm];U(95) H  [deg];U(95) V  [deg];U(95) D  [mm];Tilt  [deg];Q0 ;Q1 ;Q2 ;Q3 ;Image RMS  [µm];Target;Temperature  [°C];Pressure  [mBar];Humidity  [%];Time Stamp;OTG Applied;Delete;
6323;111.1690;90.9653;2284.812;0.000;0.0000;0.0000;0.000;6.5801;0.573419;-0.575120;-0.412726;0.412414;0.36;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.5;962;68;'29.06.2021 09:34:33.490;True;;
6324;111.1709;90.9656;2284.542;0.000;0.0000;0.0000;0.000;6.5732;0.573462;-0.575080;-0.412687;0.412449;0.36;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.5;962;68;'29.06.2021 09:34:33.500;True;;
6325;111.1727;90.9658;2284.250;0.000;0.0000;0.0000;0.000;6.5700;0.573482;-0.575044;-0.412672;0.412486;0.36;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.5;962;68;'29.06.2021 09:34:33.510;True;;
6326;111.1745;90.9659;2283.947;0.000;0.0000;0.0000;0.000;6.5661;0.573508;-0.575014;-0.412649;0.412515;0.37;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.5;962;68;'29.06.2021 09:34:33.520;True;;
6327;111.1762;90.9662;2283.629;0.000;0.0000;0.0000;0.000;6.5624;0.573533;-0.574993;-0.412621;0.412538;0.36;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.5;962;68;'29.06.2021 09:34:33.530;True;;
6328;111.1779;90.9664;2283.305;0.000;0.0000;0.0000;0.000;6.5587;0.573555;-0.574958;-0.412599;0.412576;0.35;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.5;962;68;'29.06.2021 09:34:33.540;True;;
6329;111.1796;90.9666;2282.970;0.000;0.0000;0.0000;0.000;6.5544;0.573583;-0.574924;-0.412576;0.412608;0.34;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.5;962;68;'29.06.2021 09:34:33.550;True;;
6330;111.1812;90.9669;2282.623;0.000;0.0000;0.0000;0.000;6.5508;0.573606;-0.574889;-0.412557;0.412643;0.35;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.5;962;68;'29.06.2021 09:34:33.560;True;;
6331;111.1827;90.9671;2282.262;0.000;0.0000;0.0000;0.000;6.5475;0.573629;-0.574862;-0.412535;0.412671;0.35;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.5;962;68;'29.06.2021 09:34:33.570;True;;
6332;111.1842;90.9674;2281.892;0.000;0.0000;0.0000;0.000;6.5436;0.573654;-0.574834;-0.412510;0.412701;0.35;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.5;962;68;'29.06.2021 09:34:33.580;True;;
6333;111.1857;90.9676;2281.517;0.000;0.0000;0.0000;0.000;6.5387;0.573687;-0.574797;-0.412483;0.412734;0.35;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.5;962;68;'29.06.2021 09:34:33.590;True;;
6334;111.1871;90.9679;2281.125;0.000;0.0000;0.0000;0.000;6.5354;0.573708;-0.574766;-0.412463;0.412767;0.35;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.5;962;68;'29.06.2021 09:34:33.600;True;;
6335;111.1885;90.9682;2280.725;0.000;0.0000;0.0000;0.000;6.5317;0.573733;-0.574735;-0.412441;0.412798;0.36;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.5;962;68;'29.06.2021 09:34:33.610;True;;
6336;111.1898;90.9684;2280.318;0.000;0.0000;0.0000;0.000;6.5269;0.573764;-0.574695;-0.412418;0.412835;0.35;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.5;962;68;'29.06.2021 09:34:33.620;True;;
6337;111.1910;90.9687;2279.894;0.000;0.0000;0.0000;0.000;6.5238;0.573786;-0.574669;-0.412397;0.412862;0.35;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.5;962;68;'29.06.2021 09:34:33.630;True;;
6338;111.1922;90.9691;2279.464;0.000;0.0000;0.0000;0.000;6.5201;0.573809;-0.574631;-0.412377;0.412902;0.35;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.5;962;68;'29.06.2021 09:34:33.640;True;;
6339;111.1934;90.9694;2279.026;0.000;0.0000;0.0000;0.000;6.5157;0.573836;-0.574598;-0.412350;0.412937;0.33;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.5;962;68;'29.06.2021 09:34:33.650;True;;
6340;111.1945;90.9696;2278.577;0.000;0.0000;0.0000;0.000;6.5114;0.573866;-0.574560;-0.412328;0.412969;0.35;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.5;962;68;'29.06.2021 09:34:33.660;True;;
6341;111.1955;90.9699;2278.113;0.000;0.0000;0.0000;0.000;6.5087;0.573885;-0.574536;-0.412308;0.412998;0.34;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.5;962;68;'29.06.2021 09:34:33.670;True;;
6342;111.1966;90.9703;2277.644;0.000;0.0000;0.0000;0.000;6.5047;0.573911;-0.574500;-0.412286;0.413033;0.36;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.5;962;68;'29.06.2021 09:34:33.680;True;;
6343;111.1975;90.9705;2277.167;0.000;0.0000;0.0000;0.000;6.5004;0.573940;-0.574463;-0.412264;0.413067;0.35;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.5;962;68;'29.06.2021 09:34:33.690;True;;
6344;111.1984;90.9708;2276.676;0.000;0.0000;0.0000;0.000;6.4974;0.573961;-0.574429;-0.412250;0.413099;0.36;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.5;962;68;'29.06.2021 09:34:33.700;True;;
6345;111.1993;90.9712;2276.179;0.000;0.0000;0.0000;0.000;6.4937;0.573985;-0.574390;-0.412231;0.413137;0.35;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.5;962;68;'29.06.2021 09:34:33.710;True;;
6346;111.2000;90.9715;2275.673;0.000;0.0000;0.0000;0.000;6.4896;0.574012;-0.574358;-0.412205;0.413171;0.36;T-Probe #3013 - Fixed Tip #008327 (6.0 mm);22.5;962;68;'29.06.2021 09:34:33.720;True;;
