6.74105	0	0	0	0	0	0	0	0	-0.000969689	-0	-0	-0.069812	-0	-0	0.00145453	-0.0140605	0	-0	-0	-0	-0	-0	-0	0	0.0107422	-0	-0	-0	-0	-0	-0.015625	0.123047	0.0250099	0	-0.614123	0.004921	7.15777e-06	-0.614965	0	0	0.109997	-0.2425	1.34001	2.38419e-07	-0.0124996	0.0299973	-0.0975625	-0.0975609	0.77561	0	0	0	0	0	0	0	-4.95375	-3.78953	1.12686	-0.00388981	-0.00478697	0.00388325	0.999974	0	0	0	0	0	0	0	
6.82349	0	0	0	-90	0	0	0	-90	-0.000969689	-0	-0	-0.069812	-0	-0	0.00145453	-0.0140605	0	-0	-0	-0	-0	-0	-0	0	0.0107422	-0	-0	-0	-0	-0	-0.015625	0.123047	0.0250099	0	-0.614123	0.004921	7.15777e-06	-0.614965	0	0	0.109997	-0.2425	1.34001	2.38419e-07	-0.0124996	0.0299973	0.1	0.092561	0.385365	0	0	0	0	0	0	0	-4.95408	-3.78962	1.12673	-0.00330443	-0.00383674	0.00566734	0.999971	0	0	0	0	0	0	0	
6.90602	0	0	0	0	0	0	0	0	-0.000969689	-0	-0	-0.069812	-0	-0	0.00145453	-0.0140605	0	-0	-0	-0.62	-0	-0	-0	0	0.0107422	-0	-0	-0.106445	-0	-0	-0.015625	0.0595703	0.0250099	0	-0.614123	0.004921	7.15777e-06	-0.614965	0	0	0.109997	-0.3425	1.34001	0.4	0.0875004	-0.170003	0.0975	-0.00243902	-0.107317	0	0	0	0	0	0	0	-4.95445	-3.7901	1.12701	-0.00483015	-0.00674355	0.00377271	0.999959	0	0	0	0	0	0	0	
6.98767	0	0	0	0	0	0	0	0	-0.000969689	-0	-0	-0.0804786	-0	-0	0.00145453	-0.0140605	0	-0	-0	-32.24	-0	-0	-0	-1.24	0.0107422	-0	-0	-0.123047	-0	-0	-0.015625	-0.145508	0.0287324	0	-0.61384	0.004921	7.15777e-06	-0.614965	0	0	0.109997	-0.2425	1.34001	-0.3	-0.0124996	-0.0700027	-0.095	-0.0146341	2.75317	0	0	0	0	0	0	0	-4.95443	-3.79028	1.12698	-0.00431057	-0.00604243	0.00403023	0.999964	0	0	0	0	0	0	0	
7.0693	0	0	0	0	0	0	0	0	-0.000969689	-0	-0	-0.116842	-0	-0	0.00145453	-0.0266664	0	-0	-0	-32.24	-0	-0	-0	-27.28	0.0107422	-0	-0	-0.0810546	-0	-0	-0.015625	-0.124023	0.0413957	0	-0.612574	0.00933214	1.35739e-05	-0.614876	0	0	0.109997	-0.3425	1.74001	-0.0999998	-0.1125	-0.0700027	0.102445	-0.592687	-0.239068	0	0	0	0	0	0	0	-4.95528	-3.79025	1.12652	-0.00100733	-0.00600434	0.010456	0.999927	0	0	0	0	0	0	0	
7.1515	-0	0	0	0	-0	0	0	0	-0.000969689	-0	-0	-0.147872	-0	-0	0.00145453	-0.0833932	0	-0	-0	-12.4	-0	-0	-0	-13.02	0.0107422	-0	-0	-0.0292969	-0	-0	-0.015625	-0.0986328	0.0521594	0	-0.61113	0.0291538	4.24052e-05	-0.613784	0	0	0.109997	-0.3425	1.64001	0.2	-0.1125	0.0299973	0.197683	-0.285305	-5.19207	0	0	0	0	0	0	0	-4.9568	-3.7906	1.1264	-0.00427003	-0.00262068	0.00851012	0.999951	0	0	0	0	0	0	0	
7.23416	-0	0	0	0	-0	0	0	0	-0.000969689	-0	-0	-0.179872	-0	-0	0.00145453	-0.0984234	0	-0	-0	-4.34	-0	-0	-0	-8.68	0.0107422	-0	-0	-0.0078125	-0	-0	-0.015625	-0.0898437	0.063207	0	-0.609292	0.0343926	5.00252e-05	-0.613306	0	0	0.109997	-0.4425	1.34001	2.38419e-07	0.0875004	-0.0700027	-6.09775e-05	0.780366	-2.24378	0	0	0	0	0	0	0	-4.95649	-3.79055	1.12597	-0.00406916	0.00473302	0.00948016	0.999936	0	0	0	0	0	0	0	
7.31668	-0	0	0	0	-0	0	0	0	-0.000969689	-0	-0	-0.18569	-0	-0	0.00145453	-0.106181	0	-0	-0	-1.86	-0	-0	-0	0	0.0107422	-0	-0	-0	-0	-0	-0.015625	-0.0820312	0.0652091	0	-0.60892	0.0370935	5.39537e-05	-0.613029	0	0	0.109997	-0.4425	1.14001	-0.2	-0.0124996	0.129997	0.0976219	1.26818	-0.000769811	0	0	0	0	0	0	0	-4.95486	-3.79073	1.1268	-0.00116279	-0.00440664	0.0054272	0.999975	0	0	0	0	0	0	0	
7.39998	-0	0	0	0	-0	0	0	0	-0.000969689	-0	-0	-0.186659	-0	-0	0.00145453	-0.107635	0	-0	-0	0.62	-0	-0	-0	0	0.0107422	-0	-0	0.0136719	-0	-0	-0.015625	-0.0478515	0.0655425	0	-0.608857	0.0375997	5.469e-05	-0.612974	0	0	0.109997	-0.4425	1.24001	-0.2	0.0875004	-0.0700027	6.2499e-05	5.94512e-05	-0.487563	0	0	0	0	0	0	0	-4.95351	-3.79066	1.12663	-0.00135213	-0.00470123	0.00617108	0.999969	0	0	0	0	0	0	0	
7.48241	-0	0	0	0	-0	0	0	0	-0.000969689	-0	-0	-0.18569	-0	-0	0.00145453	-0.107635	0	-0	-0	4.34	-0	-0	-0	0	0.0107422	-0	-0	0.0214844	-0	-0	-0.015625	0	0.0652091	0	-0.60892	0.0375997	5.469e-05	-0.612974	0	0	0.109997	-0.3425	0.940015	2.38419e-07	0.0875004	0.0299973	0.297561	0.099689	-3.32189	0	0	0	0	0	0	0	-4.95316	-3.79003	1.12711	0.00139312	-0.00530817	0.00245444	0.999982	0	0	0	0	0	0	0	
